2024-07-28 18:17:04.564 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=1
2024-07-28 18:17:04.713 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed prep0: null
2024-07-28 18:17:04.723 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=1
2024-07-28 18:17:04.729 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed prep1: null
2024-07-28 18:17:04.730 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=1
2024-07-28 18:17:04.731 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed prep2: null
2024-07-28 18:17:04.744 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:103 | connectionProvider=com.github.davidmoten.rx.jdbc.ConnectionProviderFromUrl@f73dcd6
2024-07-28 18:17:04.745 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:107 | preparing statement,sql=select name, score from person
2024-07-28 18:17:04.756 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:132 | executed ps=prep3: select name, score from person
2024-07-28 18:17:04.759 | [main] | TRACE | com.github.davidmoten.rx.jdbc.QuerySelectProducer:114 | onNext
2024-07-28 18:17:04.776 | [main] | TRACE | com.github.davidmoten.rx.jdbc.QuerySelectProducer:114 | onNext
2024-07-28 18:17:04.776 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:214 | closed rs0: null
2024-07-28 18:17:04.777 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:152 | closing ps
2024-07-28 18:17:04.777 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed prep3: null
2024-07-28 18:17:04.777 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:156 | closed
2024-07-28 18:17:04.777 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:129 | onCompleted
2024-07-28 18:17:04.777 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:161 | closing rs
2024-07-28 18:17:04.778 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:165 | closing con
2024-07-28 18:17:04.778 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:638 | closed connection provider
