2024-08-05 15:29:39.454 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'invalidaccountid' (class org.asteriskjava.manager.event.InvalidAccountId)
2024-08-05 15:29:39.455 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'alarm' (class org.asteriskjava.manager.event.AlarmEvent)
2024-08-05 15:29:39.455 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'masquerade' (class org.asteriskjava.manager.event.MasqueradeEvent)
2024-08-05 15:29:39.455 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'alarmclear' (class org.asteriskjava.manager.event.AlarmClearEvent)
2024-08-05 15:29:39.456 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'cdr' (class org.asteriskjava.manager.event.CdrEvent)
2024-08-05 15:29:39.456 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'donglenewsmsbase64' (class org.asteriskjava.manager.event.DongleNewSMSBase64Event)
2024-08-05 15:29:39.456 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'channelreload' (class org.asteriskjava.manager.event.ChannelReloadEvent)
2024-08-05 15:29:39.456 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'bridgemerge' (class org.asteriskjava.manager.event.BridgeMergeEvent)
2024-08-05 15:29:39.456 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'rename' (class org.asteriskjava.manager.event.RenameEvent)
2024-08-05 15:29:39.456 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'newexten' (class org.asteriskjava.manager.event.NewExtenEvent)
2024-08-05 15:29:39.457 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'queuememberpenalty' (class org.asteriskjava.manager.event.QueueMemberPenaltyEvent)
2024-08-05 15:29:39.457 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'chanspystart' (class org.asteriskjava.manager.event.ChanSpyStartEvent)
2024-08-05 15:29:39.457 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'shutdown' (class org.asteriskjava.manager.event.ShutdownEvent)
2024-08-05 15:29:39.458 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'localbridge' (class org.asteriskjava.manager.event.LocalBridgeEvent)
2024-08-05 15:29:39.458 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'peerstatus' (class org.asteriskjava.manager.event.PeerStatusEvent)
2024-08-05 15:29:39.458 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'dial' (class org.asteriskjava.manager.event.DialEvent)
2024-08-05 15:29:39.458 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agentcallbacklogin' (class org.asteriskjava.manager.event.AgentCallbackLoginEvent)
2024-08-05 15:29:39.458 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agentlogin' (class org.asteriskjava.manager.event.AgentLoginEvent)
2024-08-05 15:29:39.459 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agentlogoff' (class org.asteriskjava.manager.event.AgentLogoffEvent)
2024-08-05 15:29:39.459 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'cel' (class org.asteriskjava.manager.event.CelEvent)
2024-08-05 15:29:39.459 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'channelupdate' (class org.asteriskjava.manager.event.ChannelUpdateEvent)
2024-08-05 15:29:39.459 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'moduleloadreport' (class org.asteriskjava.manager.event.ModuleLoadReportEvent)
2024-08-05 15:29:39.460 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'skypechatmessage' (class org.asteriskjava.manager.event.SkypeChatMessageEvent)
2024-08-05 15:29:39.460 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'extensionstatus' (class org.asteriskjava.manager.event.ExtensionStatusEvent)
2024-08-05 15:29:39.460 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'messagewaiting' (class org.asteriskjava.manager.event.MessageWaitingEvent)
2024-08-05 15:29:39.460 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'skypeaccountstatus' (class org.asteriskjava.manager.event.SkypeAccountStatusEvent)
2024-08-05 15:29:39.461 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'transfer' (class org.asteriskjava.manager.event.TransferEvent)
2024-08-05 15:29:39.461 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'successfulauth' (class org.asteriskjava.manager.event.SuccessfulAuthEvent)
2024-08-05 15:29:39.461 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'donglecallstatechange' (class org.asteriskjava.manager.event.DongleCallStateChangeEvent)
2024-08-05 15:29:39.461 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'bridge' (class org.asteriskjava.manager.event.BridgeEvent)
2024-08-05 15:29:39.461 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'skypebuddystatus' (class org.asteriskjava.manager.event.SkypeBuddyStatusEvent)
2024-08-05 15:29:39.462 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'dtmf' (class org.asteriskjava.manager.event.DtmfEvent)
